numero_termo,osc,projeto,tipo_termo,portaria,cnpj,inicio,final,meses,total_previsto,total_pago,conta,transicao,sei_celeb,sei_pc,endereco,sei_plano,sei_orcamento,contrapartida
TFM/020/2021/SMDHC/FUMCAD,Arca de Noé de Apoio Social,Esporte para Todos,Fomento,,4297140000000,2021-09-01,2023-08-30,24,211217.6,211217.6,,,6074200000000000,6074200000000000,,,,
TFM/025/2021/SMDHC/FUMCAD,Promoções Humanas Eugênio de Mazenod / ONG Tijolinho,ID Jovem II,Fomento,,49311300000000,2021-09-01,2022-08-30,12,359058.61,359058.61,,,6074200000000000,6074200000000000,,,,
TFM/027/2021/SMDHC/FUMCAD,IOK: Instituto Olga Kos de Inclusão Social,Capoeira - Jogo da Inclusão,Fomento,,8745680000000,2021-09-01,2022-08-30,12,310980.0,310980.0,,,6074200000000000,6074200000000000,,,,
TFM/028/2021/SMDHC/FUMCAD,Associação Fazendo História,Fazendo Minha História,Fomento,,7325040000000,2021-09-01,2023-08-30,24,564926.6,564926.6,,,6074200000000000,6074200000000000,,,,
TFM/007/2021/SMDHC/FUMCAD,Congregação Santa Cruz,Os Caminhos Pela Música,Fomento,,60993200000000,2021-10-01,2022-09-30,12,270060.24,270060.24,,,6074200000000000,6074200000000000,,,,
TFM/008/2021/SMDHC/FUMCAD,Congregação Santa Cruz,"Promoção para o Desenvolvimento do Esporte, Cultura e Cidadania",Fomento,,60993200000000,2021-10-01,2022-09-30,12,343681.84,343681.84,,,6074200000000000,6074200000000000,,,,
TFM/024/2021/SMDHC/FUMCAD,FUNDASP: Fundação São Paulo,Aplicando Horizontes: Estratégias para o Acesso do Surdo ao Mercado de Trabalho,Fomento,,60990800000000,2021-10-01,2022-11-30,14,305031.59,305031.59,,,6074200000000000,6074200000000000,,,,
TFM/031/2021/SMDHC/FUMCAD,Centro de Promoção Social Bororé,"Redescobrindo a Identidade, Transformando Meu Horizonte",Fomento,,59936800000000,2021-10-01,2023-09-30,24,764590.0,764590.0,,,6074200000000000,6074200000000000,,,,
TFM/034/2021/SMDHC/FUMCAD,CCASA: Casa da Criança e do Adolescente de Santo Amaro / GROSSARL,Construtores do Amanhã,Fomento,,61054700000000,2021-10-01,2022-09-30,12,143720.7,143720.7,,,6074200000000000,6074200000000000,,,,
TFM/012/2021/SMDHC/FUMCAD,APAE: Associação de Pais e Amigos dos Excepcionais de São Paulo / Instituto Jô Clemente,Escuta e Protagonismo das Crianças e Adolescentes com Deficiência Intelectual,Fomento,,60502200000000,2021-11-01,2022-10-30,12,1147912.47,1147912.47,,,6074200000000000,6074200000000000,,,,
TFM/037/2021/SMDHC/FUMCAD,AECVR: Associação Esporte Clube Vila Real,Educando pelo Esporte,Fomento,,5924510000000,2021-11-01,2023-12-31,26,596400.0,596400.0,,,6074200000000000,6074200000000000,,,,
TFM/042/2021/SMDHC/FUMCAD,ACTC: Associação de Assistência à Criança e ao Adolescente Cardíacos e aos Transplantados do Coração,Acompanhamento da Criança com Cardiopatia,Fomento,,236857000000,2021-11-01,2022-10-31,12,389736.0,389736.0,,,6074200000000000,6074200000000000,,,,
TFM/044/2021/SMDHC/FUMCAD,CDHIC: Centro de Direitos Humanos e Cidadania do Imigrante,"Tendas da Cidadania: Migração, Diversidade e Cultura de Paz",Fomento,,11233900000000,2021-11-01,2023-02-28,16,474088.56,478518.67,,,6074200000000000,6074200000000000,,,,
TFM/045/2021/SMDHC/FUMCAD,Fundação Oftalmológica Dr. Rubem Cunha,Novo Olhar - Prevenção e Tratamento,Fomento,,7078190000000,2021-11-01,2023-10-31,24,900784.7,900784.7,,,6074200000000000,6074200000000000,,,,
TFM/046/2021/SMDHC/FUMCAD,UNIBES: União Brasileiro-Israelita do Bem-Estar Social,Vencer na Vida,Fomento,,60978700000000,2021-11-01,2022-10-31,12,132851.6,132851.6,,,6074200000000000,6074200000000000,,,,
TFM/047/2021/SMDHC/FUMCAD,IOK: Instituto Olga Kos de Inclusão Social,Cor e Música - Ritmo da Inclusão,Fomento,,8745680000000,2021-11-01,2022-10-30,12,383060.0,383060.0,,,6074200000000000,6074200000000000,,,,
TFM/048/2021/SMDHC/FUMCAD,TUCCA - Associação para Crianças e Adolescentes com Câncer,"Atendimento Integral, Individualizado e Humanizado - Do Diagnóstico à Cura, um Direito de Toda Criança e Adolescente com Câncer",Fomento,,3092660000000,2021-11-01,2022-10-30,12,1879992.24,1879992.24,,,6074200000000000,6074200000000000,,,,
TFM/038/2021/SMDHC/FUMCAD,IBTE: Instituto Brasileiro de Transformação pela Educação,IBTE - Formando Transformadores,Fomento,,8860850000000,2021-12-01,2022-11-30,12,398338.0,193123.91,,,6074200000000000,6074200000000000,,,,
TFM/053/2021/SMDHC/FUMCAD,UNIBES: União Brasileiro-Israelita do Bem-Estar Social,Esporte em Cena ,Fomento,,60978700000000,2021-12-01,2023-11-30,24,793860.48,793860.48,,,6074200000000000,6074200000000000,,,,
TFM/021/2021/SMDHC/FUMCAD,Arrastão Movimento de Promoção Humana,Design e Mídias,Fomento,,43082200000000,2022-01-01,2023-12-31,24,317457.0,317457.0,,,6074200000000000,6074200000000000,,,,
TFM/022/2021/SMDHC/FUMCAD,Arrastão Movimento de Promoção Humana,Arrastão da Gastronomia,Fomento,,43082200000000,2022-01-01,2023-12-31,24,423006.39,423006.39,,,6074200000000000,6074200000000000,,,,
TFM/023/2021/SMDHC/FUMCAD,Arrastão Movimento de Promoção Humana,Arrastão em Movimento,Fomento,,43082200000000,2022-01-01,2022-12-31,12,208197.0,208197.0,,,6074200000000000,6074200000000000,,,,
TFM/035/2021/SMDHC/FUMCAD,Arrastão Movimento de Promoção Humana,Pintando Mudança,Fomento,,43082200000000,2022-01-01,2022-12-31,12,239129.0,239129.0,,,6074200000000000,6074200000000000,,,,
TFM/030/2021/SMDHC/FUMCAD,Associação Lar da Benção Divina,Recuperação de Aprendizagem,Fomento,,62702600000000,2022-02-01,2023-01-31,12,199753.38,199753.38,,,6074200000000000,6074200000000000,,,,
TFM/039/2021/SMDHC/FUMCAD,Congregação de Santa Cruz / CIE: Centro de Inclusão Educacional,Progride - Programa de Inclusão e Desenvolvimento,Fomento,,60993200000000,2022-02-01,2023-01-31,12,542225.32,542225.32,,,6074200000000000,6074200000000000,,,,
TFM/043/2021/SMDHC/FUMCAD,Associação Fazendo História,Capacitação em Serviços de Acolhimento,Fomento,,7325040000000,2022-03-01,2024-02-29,24,527632.92,527632.92,,,6074200000000000,6074200000000000,,,,
TFM/056/2021/SMDHC/FUMCAD,CIP: Congregação Israelita Paulista,Ponte para o Futuro,Fomento,,60766100000000,2022-03-01,2023-02-28,12,532567.73,532567.73,,,6074200000000000,6074200000000000,,,,
TFM/063/2021/SMDHC/FUMCAD,Fundação Márcio Eduardo Barone Brandão,Educação Complementar,Fomento,,48084000000000,2022-03-01,2023-02-28,12,127691.88,127691.88,,,6074200000000000,6074200000000000,,,,
TFM/050/2021/SMDHC/FUMCAD,Instituto Akatu,Educação para Consumo Consciente em Escolas de São Paulo via Edukatu,Fomento,,4366060000000,2022-04-01,2023-03-30,12,149445.48,149445.48,,,6074200000000000,6074200000000000,,,,
TFM/001/2022/SMDHC/FUMCAD,Instituto Verter,Ver na Escola Primeira Infância,Fomento,,7470600000000,2022-02-01,2023-01-31,12,642706.0,642706.0,,,6074200000000000,6074200000000000,,,,
TCL/001/2022/SMDHC/FUMCAD,Associação Cidade Escola Aprendiz,Pesquisa sobre Evasão Escolar e Trabalho Infantil na cidade de São Paulo,Colaboração,,3074380000000,2022-09-01,2023-02-28,6,442777.72,442777.72,,,6074200000000000,6074200000000000,,,,
TFM/002/2022/SMDHC/FUMCAD,Instituto Verter,Ver Na Escola 2017,Fomento,,7470600000000,2022-03-08,2023-03-07,13,1497156.0,1497156.0,,,6074200000000000,6074200000000000,,,,
TFM/008/2022/SMDHC/FUMCAD,Associação Comunitária Monte Azul,#Empodera - Cuidado Integrado ao Adolescente,Fomento,,51232200000000,2022-04-01,2024-03-31,24,3672980.49,3672980.49,,,6074200000000000,6074200000000000,,,,
TFM/009/2022/SMDHC/FUMCAD,Associação dos Cavaleiros da Soberana Ordem Militar de Malta de São Paulo e Brasil Meridional,"Fortalecendo vinculos familiares e comunitários, por meio de atividades lúdicas e culturais, de crinças de 4 a 5 anos e 11 meses, no contraturno escolar",Fomento,,62808900000000,2022-04-01,2023-03-31,12,227356.35,227356.35,,,6074200000000000,6074200000000000,,,,
TFM/010/2022/SMDHC/FUMCAD,CCL: Cáritas Campo Limpo,"Minha Identidade, Adolescente, Mas em família",Fomento,,64033100000000,2022-04-01,2023-03-31,12,141110.94,141110.94,,,6074200000000000,6074200000000000,,,,
TFM/012/2022/SMDHC/FUMCAD,Liga das Senhoras Católicas de São Paulo / Liga Solidária,Oficina de Iniciação Esportiva,Fomento,,60597000000000,2022-04-04,2023-04-03,13,142547.7,142547.68,,,6074200000000000,6074200000000000,,,,
TFM/014/2022/SMDHC/FUMCAD,Associação Cidade Escola Aprendiz,Chega de Trabalho Infantil no Terminal Rodoviário da Barra Funda,Fomento,,3074380000000,2022-05-01,2023-04-30,12,544814.32,273292.18,,,6074200000000000,6074200000000000,,,,
TFM/017/2022/SMDHC/FUMCAD,Associação dos Cavaleiros da Soberana Ordem Militar de Malta de São Paulo e Brasil Meridional,"Enriquecendo o itinerário formativo de crianças e adolescentes em situação de vulnerabilidade social, por meio do esporte e da arte",Fomento,,62808900000000,2022-05-01,2023-04-30,12,146600.46,146600.46,,,6074200000000000,6074200000000000,,,,
TFM/020/2022/SMDHC/FUMCAD,GFWC CrêSer,"Meu Corpo, Nossas Escolhas?",Fomento,,7376670000000,2022-05-01,2023-04-30,12,200000.0,200000.0,,,6074200000000000,6074200000000000,,,,
TFM/023/2022/SMDHC/FUMCAD,CIAM: Centro Israelita de Apoio Multidisciplinar,Serviço de assistência multifamiliar de bebês prematuros e/ou crianças com deficiência intelectual,Fomento,,61683300000000,2022-05-01,2024-04-30,24,809171.29,809171.29,,,6074200000000000,6074200000000000,,,,
TFM/011/2022/SMDHC/FUMCAD,APAE: Associação de Pais e Amigos dos Excepcionais de São Paulo / Instituto Jô Clemente,Diagnosticar para Incluir,Fomento,,60502200000000,2022-05-02,2023-11-01,19,2703848.29,2703848.27,,,6074200000000000,6074200000000000,,,,
TFM/016/2022/SMDHC/FUMCAD,Associação Assistencial Comunitária Azarias,Música & Cultura,Fomento,,3864900000000,2022-05-01,2024-04-30,24,912850.0,912850.0,,,6074200000000000,6074200000000000,,,,
TFM/019/2022/SMDHC/FUMCAD,GAAN: Grupo Assistencial Alvorada Nova,Fortalecendo Laços,Fomento,,1755910000000,2022-06-01,2024-05-31,24,165646.6,159216.91,,,6074200000000000,6074200000000000,,,,
TFM/021/2022/SMDHC/FUMCAD,"Centro de Recreação Infantil Amar Mais, Muito Mais",Dançalidade,Fomento,,20459400000000,2022-06-01,2024-05-31,24,838800.0,838800.0,,,6074200000000000,6074200000000000,,,,
TFM/026/2022/SMDHC/FUMCAD,Instituto Sorrir para Vida,Estimo Meu Sorriso,Fomento,,9665390000000,2022-06-01,2024-05-31,24,977889.6,977889.6,,,6074200000000000,6074200000000000,,,,
TFM/028/2022/SMDHC/FUMCAD,Associação dos Cavaleiros da Soberana Ordem Militar de Malta de São Paulo e Brasil Meridional,"Promovendo qualificação profissional e inserção no mundo do trabalho de adolescente em cumprimento de medidas socioeducativas, por meio de cursos-oficinas de cabeleireiro, barbeiro e designer de sobrancelhas",Fomento,,62808900000000,2022-06-01,2023-05-31,12,222281.86,222281.86,,,6074200000000000,6074200000000000,,,,
TFM/030/2022/SMDHC/FUMCAD,Instituto Pedro Macambira,Trabalho Agora é em Rede,Fomento,,18929400000000,2022-06-01,2023-05-31,12,180000.0,180000.0,,,6074200000000000,6074200000000000,,,,
TFM/022/2022/SMDHC/FUMCAD,CCASA: Casa da Criança e do Adolescente de Santo Amaro / GROSSARL,"UBUNTU ""Eu sou porque nós Somos""",Fomento,,61054700000000,2022-07-01,2023-06-30,12,321974.0,300714.0,,,6074200000000000,6074200000000000,,,,
TFM/024/2022/SMDHC/FUMCAD,AAPQ: Associação de Apoio ao Projeto Quixote,Quixote  Território Empreendedor,Fomento,,4250690000000,2022-07-01,2023-06-30,12,1183441.6,1183441.6,,,6074200000000000,6074200000000000,,,,
TFM/025/2022/SMDHC/FUMCAD,AHPAS: Associação Helena Piccardi de Andrade Silva / Instituto Heleninha,"ACESSO AO TRATAMENTO, QUALIDADE DE VIDA E PROTEÇÃO BÁSICA À CRIANÇAS E ADOLESCENTES COM CÂNCER",Fomento,,3873910000000,2022-07-01,2023-11-30,17,1358301.44,1358301.44,,,6074200000000000,6074200000000000,,,,
TFM/027/2022/SMDHC/FUMCAD,OSUC: Obras Sociais Universitárias e Culturais,Ensino Profissionalizante - EPT,Fomento,,60428400000000,2022-07-01,2023-06-30,12,981321.36,981321.36,,,6074200000000000,6074200000000000,,,,
TFM/033/2022/SMDHC/FUMCAD,Aldeia do Futuro,Qualificando Para o Futuro,Fomento,,74137100000000,2022-07-01,2024-06-30,24,1280076.73,963895.33,,,6074200000000000,6074200000000000,,,,
TFM/034/2022/SMDHC/FUMCAD,CENOP: Centro de Educação e Promoção Popular da Vila Nitro Operária,Recomeço,Fomento,,54282200000000,2022-07-01,2024-06-30,24,2183998.84,2183998.84,,,6074200000000000,6074200000000000,,,,
TFM/035/2022/SMDHC/FUMCAD,AVIB: Associação de Voluntários Integrados no Brasil,Raizes,Fomento,,1014620000000,2022-07-01,2024-06-30,24,542598.88,542598.88,,,6074200000000000,6074200000000000,,,,
TFM/037/2022/SMDHC/FUMCAD,IOS: Instituto da Oportunidade Social,"Preparando jovens em conteúdo digital, ferramentas de comunicação e gestão de mídias sociais",Fomento,,2449280000000,2022-07-01,2024-06-30,24,940387.0,940387.0,,,6074200000000000,6074200000000000,,,,
TFM/038/2022/SMDHC/FUMCAD,NUA: Instituto Nova União da Arte,JOVENS MEDIADORES,Fomento,,7676920000000,2022-07-01,2023-06-30,12,246600.0,246600.0,,,6074200000000000,6074200000000000,,,,
TFM/039/2022/SMDHC/FUMCAD,"Casa Jesus, Amor e Caridade / Larzinho",CASA JESUS AMOR E CARIDADE,Fomento,,686149000000,2022-07-01,2024-06-30,24,238341.09,238341.09,,,6074200000000000,6074200000000000,,,,
TCL/004/2022/SMDHC/FUMCAD,SEFRAS - Ação Social Franciscana,Implantação e Gestão do Centro de Referência da Criança e Adolescente e do Centro de Referência Especializado para Crianças e Adolescentes em Situação de Rua,Colaboração,,11861100000000,2022-07-15,2026-07-14,49,11498662.59,8664839.68,,,6074200000000000,6074200000000000,,,,
TFM/040/2022/SMDHC/FUMCAD,SEFRAS - Ação Social Franciscana,Respeita as Minas!,Fomento,,11861100000000,2022-08-01,2023-07-31,12,116803.19,117364.9,,,6074200000000000,6074200000000000,,,,
TFM/041/2022/SMDHC/FUMCAD,UNIBES: União Brasileiro-Israelita do Bem-Estar Social,Projeto Web,Fomento,,60978700000000,2022-08-01,2024-07-31,24,766116.8,766116.8,,,6074200000000000,6074200000000000,,,,
TFM/042/2022/SMDHC/FUMCAD,Instituto Galeno de Pérgamo Promoção a Saúde,Aflora,Fomento,,33201900000000,2022-08-01,2023-07-31,12,635286.16,635286.16,,,6074200000000000,6074200000000000,,,,
TFM/044/2022/SMDHC/FUMCAD,Instituto Global Attitude,Meu Primeiro Trampo,Fomento,,15083000000000,2022-08-01,2023-09-21,14,748574.56,224233.2,,,6074200000000000,6074200000000000,,,,
TFM/045/2022/SMDHC/FUMCAD,ARCO - Associação Beneficente,Reconhecer - Redução da Defasagem Educacional Durante e Pós Pandemia,Fomento,,66862700000000,2022-08-01,2024-07-31,24,1456642.5,1456642.5,,,6074200000000000,6074200000000000,,,,
TFM/046/2022/SMDHC/FUMCAD,Instituto Usina dos Atos, 1° cena,Fomento,,20813400000000,2022-08-01,2023-11-30,16,749054.87,750057.29,,,6074200000000000,6074200000000000,,,,
TFM/047/2022/SMDHC/FUMCAD,IOK: Instituto Olga Kos de Inclusão Social,CESTINHA  PONTO PARA A INCLUSÃO,Fomento,,8745680000000,2022-09-01,2023-08-30,12,296730.0,296730.0,,,6074200000000000,6074200000000000,,,,
TFM/048/2022/SMDHC/FUMCAD,IOK: Instituto Olga Kos de Inclusão Social,DAQUI PRA FRENTE  HISTÓRIAS DE INCLUSÃO,Fomento,,8745680000000,2022-09-01,2023-08-30,12,255294.0,255294.0,,,6074200000000000,6074200000000000,,,,
TFM/049/2022/SMDHC/FUMCAD,ADID: Associação para Desenvolvimento Integral do Down,Diversidade e Inclusão Social da Criança e Adolescente com Síndrome de Down,Fomento,,62020100000000,2022-09-01,2024-08-30,24,2683166.23,2683166.23,,,6074200000000000,6074200000000000,,,,
TFM/052/2022/SMDHC/FUMCAD,Associação Comunitária Despertar,Despertar Tec,Fomento,,74682600000000,2022-09-01,2024-08-30,24,1509050.35,1509050.35,,,6074200000000000,6074200000000000,,,,
TFM/053/2022/SMDHC/FUMCAD,IOS: Instituto da Oportunidade Social,Inclusão Produtiva de Adolescentes e Jovens na Zona Sul,Fomento,,2449280000000,2022-09-01,2023-08-30,12,391592.0,391592.0,,,6074200000000000,6074200000000000,,,,
TFM/057/2022/SMDHC/FUMCAD,IOS: Instituto da Oportunidade Social,Capacitação Profissional na Zona Oeste,Fomento,,2449280000000,2022-09-01,2023-08-30,12,404113.87,404113.87,,,6074200000000000,6074200000000000,,,,
TFM/056/2022/SMDHC/FUMCAD,IMBRA: Instituto Muda Brasil,Formar para Educar,Fomento,,8817520000000,2022-09-01,2024-08-30,24,2129562.4,2129562.4,,,6074200000000000,6074200000000000,,,,
TFM/058/2022/SMDHC/FUMCAD,CEJA BRASIL: Centro Educacional Jovem Aprendiz do Brasil,Curso Auxiliar de Farmácia,Fomento,,15409300000000,2022-10-01,2023-09-30,12,423450.0,423450.0,,,6074200000000000,6074200000000000,,,,
TFM/065/2022/SMDHC/FUMCAD,Fundação Dorina Nowill para Cegos,Vida Plena para crianças e adolescentes com deficiência visual,Fomento,,60507100000000,2022-11-01,2024-04-30,18,1766063.31,1766063.31,,,6074200000000000,6074200000000000,,,,
TFM/078/2022/SMDHC/FUMCAD,Associação Barão de Souza Queiroz de Proteção à Infância e à Juventude / Instituto Dona Ana Rosa,CRIAR  Centro de Referência e Inovação Ana Rosa,Fomento,,60598500000000,2023-01-02,2024-01-01,13,363984.02,363984.02,,,6074200000000000,6074200000000000,,,,
TFM/079/2022/SMDHC/FUMCAD,Aliança de Misericórdia,Oratório São Domingos Sávio,Fomento,,4186470000000,2022-12-01,2024-11-30,24,1184730.94,1184730.94,,,6074200000000000,6074200000000000,,,,
TFM/081/2022/SMDHC/FUMCAD,CAMP Pinheiros: Centro Assistencial de Motivação Profissional,Transformar,Fomento,,50246500000000,2022-12-01,2023-11-30,12,45000.04,45000.04,,,6074200000000000,6074200000000000,,,,
TFM/082/2022/SMDHC/FUMCAD,AFESU: Associação Feminina de Estudos Sociais e Universitário,Jovens na Tecnologia,Fomento,,60428600000000,2023-01-01,2023-12-31,12,179971.0,179971.0,,,6074200000000000,6074200000000000,,,,
TFM/086/2022/SMDHC/FUMCAD,AFESU: Associação Feminina de Estudos Sociais e Universitário,Educar para Transformar,Fomento,,60428600000000,2023-01-01,2023-12-31,12,399002.2,399002.2,,,6074200000000000,6074200000000000,,,,
TFM/083/2022/SMDHC/FUMCAD,AFESU: Associação Feminina de Estudos Sociais e Universitário,Formando Chefs,Fomento,,60428600000000,2023-01-01,2023-12-31,12,143129.0,143129.0,,,6074200000000000,6074200000000000,,,,
TFM/108/2022/SMDHC/FUMCAD,Instituto Melhores Dias,Prevenção Quanto Antes Melhor,Fomento,,696000000000,2023-03-01,2024-02-28,12,238176.0,238176.0,,,6074200000000000,6074200000000000,,,,
TFM/109/2022/SMDHC/FUMCAD,Fundação Dorina Nowill para Cegos,Programa de habilitação e reabilitação para crianças e adolescentes com deficiência visual,Fomento,,60507100000000,2023-02-01,2025-01-31,24,1438456.16,1438456.16,,,6074200000000000,6074200000000000,,,,
TFM/110/2022/SMDHC/FUMCAD,Associação Fazendo História,Adolescências e acolhimento,Fomento,,7325040000000,2023-06-01,2025-05-31,24,802765.25,802765.25,,,6074200000000000,6074200000000000,,,,
TFM/097/2022/SMDHC/FUMCAD,Instituto Caminhando - Núcleo de Educação e Ação Social,Beija Flor I - Um Voo para Inclusão,Fomento,,61581800000000,2022-12-19,2024-12-18,25,972471.24,972471.24,,,6074200000000000,6074200000000000,,,,
TFM/127/2022/SMDHC/FUMCAD,APAF: Associação Paulista de Apoio à Família,Pós Escola Aconchego,Fomento,,7144360000000,2023-01-03,2024-01-02,13,421658.28,421658.28,,,6074200000000000,6074200000000000,,,,
TFM/029/2021/SMDHC/FMID,Fundação Julita,Resgate de Memória,Fomento,,62805800000000,2021-09-01,2022-08-30,12,200000.0,200000.0,,,6074200000000000,6074200000000000,,,,
TFM/036/2021/SMDHC/FMID,Associação de Amparo ao Idoso,A Gente Se Cuida,Fomento,,4589880000000,2021-11-01,2022-10-31,12,196335.62,196335.62,,,6074200000000000,6074200000000000,,,,
TFM/040/2021/SMDHC/FMID,ASA: Associação Santo Agostinho,ASA - Acolhe e Transforma a Terceira Idade,Fomento,,62272500000000,2021-11-01,2023-10-31,24,239566.68,239566.68,,,6074200000000000,6074200000000000,,,,
TFM/055/2021/SMDHC/FMID,Grupo Beneficente Divino Amigo,"Manutenção das Medidas de Prevenção e de Enfrentamento à Covid-19, assegurando a Integridade e os Direitos das Pessoas Idosas",Fomento,,54220100000000,2021-12-01,2022-11-30,12,80910.35,80910.35,,,6074200000000000,6074200000000000,,,,
TFM/057/2021/SMDHC/FMID,APAE: Associação de Pais e Amigos dos Excepcionais de São Paulo / Instituto Jô Clemente,Inclusão da Pessoa Idosa com deficiência Intelectual,Fomento,,60502200000000,2021-12-01,2022-11-30,12,1350795.67,1350795.67,,,6074200000000000,6074200000000000,,,,
TFM/066/2021/SMDHC/FMID,Associação Cultural e Artística Cine Favela,Melhor Idade no Cine Favela com Inclusão Digital,Fomento,,6373010000000,2021-12-15,2022-12-14,13,998857.27,998857.27,,,6074200000000000,6074200000000000,,,,
TFM/054/2021/SMDHC/FMID,"Instituto Ânima Sociesc de Inovação, Pesquisa e Cultura",Universidade Aberta à Pessoa Idosa - Escola da Maturidade,Fomento,,7749610000000,2022-01-01,2024-02-22,26,3269102.32,3269102.32,,,6074200000000000,6074200000000000,,,,
TFM/065/2021/SMDHC/FMID,Instituto de Educação e Tecnologia Vale do Ribeira,Foco Finanças - Ferramentas de Orientação e Consultoria em Finanças ,Fomento,,7939920000000,2022-02-01,2023-01-30,12,199192.5,185459.5,,,6074200000000000,6074200000000000,,,,
TFM/064/2021/SMDHC/FMID,Associação Beneficente Síria,Capacitação do Fórum do Cidadão Idoso. Promovendo o Protagonismo da Pessoa Idosa em Relação às Políticas Públicas e seus Direitos,Fomento,,60453000000000,2022-03-01,2022-09-22,7,197640.0,86840.8,,,6074200000000000,6074200000000000,,,,
TFM/003/2022/SMDHC/FMID,Samaritano São Francisco de Assis,"Benvelhecer: Atenção, Cuidado e Bem-Estar da Pessoa Idosa que Vive Só",Fomento,,2627820000000,2022-03-01,2023-02-28,12,199995.29,199995.29,,,6074200000000000,6074200000000000,,,,
TFM/004/2022/SMDHC/FMID,Casa dos Velhinhos de Ondina Lobo,Implantação de Medidas de Prevenção e de Enfrentamento à Covid-19 entre Pessoas Idosas Institucionalizadas Casa Ondina Lobo,Fomento,,62788500000000,2022-04-01,2023-07-01,16,2483071.63,2483071.63,,,6074200000000000,6074200000000000,,,,
TFM/005/2022/SMDHC/FMID,"Instituto Brasileiro Arte, Terapia e Felicidade",Arteterapia Prevenção e Tratamento,Fomento,,17938800000000,2022-04-01,2023-03-30,12,199574.8,199574.8,,,6074200000000000,6074200000000000,,,,
TFM/006/2022/SMDHC/FMID,Casa dos Velhinhos de Ondina Lobo,Espaço Intergeracional Gastronômico Ondina Lobo,Fomento,,62788500000000,2022-05-02,2023-05-01,13,778514.4,778514.4,,,6074200000000000,6074200000000000,,,,
TFM/015/2022/SMDHC/FMID,Liga das Senhoras Católicas de São Paulo / Liga Solidária,Resgate aos Hábitos Alimentares Saudáveis na Terceira Idade,Fomento,,60597000000000,2022-06-01,2023-05-31,12,59162.68,59162.68,,,6074200000000000,6074200000000000,,,,
TFM/018/2022/SMDHC/FMID,Círculo de Trabalhadores Cristãos de Vila Prudente,Padaria Artesanal e Confeitaria,Fomento,,61876900000000,2022-06-01,2024-05-31,24,23978.0,23978.0,,,6074200000000000,6074200000000000,,,,
TFM/007/2022/SMDHC/FMID,Casa dos Velhinhos de Ondina Lobo,"Plataforma Tecnológica e Assistencial para Aprimoramento, Aplicação e Multiplicação de Metodologia para Diagnóstico e Prevenção do Quadro de Depressão e Estimulação Motora e Cognitiva em Pessoas Idosas Institucionalizadas",Fomento,,62788500000000,2022-08-01,2024-07-30,24,1935712.19,1935712.19,,,6074200000000000,6074200000000000,,,,
TFM/029/2022/SMDHC/FMID,UNIBES: União Brasileiro-Israelita do Bem-Estar Social,Cuidando de Quem Cuida,Fomento,,60978700000000,2022-09-01,2024-08-30,24,199846.81,199846.82,,,6074200000000000,6074200000000000,,,,
TFM/031/2022/SMDHC/FMID,ABRATI: Associação Brasileira de Apoio à Terceira Idade,100% Bem-Estar,Fomento,,10289000000000,2022-07-01,2023-06-30,12,159716.65,159716.65,,,6074200000000000,6074200000000000,,,,
TFM/036/2022/SMDHC/FMID,Associação Beneficente Síria,Alimentação Cardioprotetora como Estratégia de Educação Alimentar e Nutricional para Idosos com Fatores de Risco Cardiovascular,Fomento,,60453000000000,2022-08-01,2024-01-31,18,144601.67,99804.51,,,6074200000000000,6074200000000000,,,,
TFM/043/2022/SMDHC/FMID,ABRATI: Associação Brasileira de Apoio à Terceira Idade,Protegendo Minha Vida Digital,Fomento,,10289000000000,2022-08-01,2023-07-31,12,138820.06,138820.06,,,6074200000000000,6074200000000000,,,,
TFM/054/2022/SMDHC/FMID,FUNDASP: Fundação São Paulo,Inclusão Digital de Idosos como Fator de Fortalecimento de Vínculos Intergeracionais,Fomento,,60990800000000,2022-10-01,2024-03-31,18,429113.58,429113.58,,,6074200000000000,6074200000000000,,,,
TFM/055/2022/SMDHC/FMID,FUNDASP: Fundação São Paulo,Práticas integrativas e complementares no atendimento a idosos com dificuldades de comunicação,Fomento,,60990800000000,2023-02-01,2024-10-31,21,222474.39,222474.39,,,6074200000000000,6074200000000000,,,,
TCV/016/2006/SME/FUMCAD,Ação Comunitária Paroquial de Itaim Paulista,Projeto Caminhar,Convênio - Passivo,,47323700000000,2006-02-07,2007-02-06,13,230322.2,230322.2,,,200402000000,,,,,
TCV/054/2006/SEPP/FUMCAD,Ação Comunitária Paroquial do Jardim Colonial,Central da Juventude para Oportunidades e Geração de Renda,Convênio - Passivo,,52801900000000,2006-06-01,2007-02-28,9,214777.4,214777.4,,,200601000000,,,,,
TCV/051/2006/SMADS/FUMCAD,Ação Comunitária Paroquial do Jardim Colonial,Informarte - Informação e Arte ,Convênio - Passivo,,52801900000000,2006-07-01,2007-06-30,12,93022.56,93022.56,,,200601000000,,,,,
TCV/013/2006/SMC/FUMCAD,ACTI: Ação Comunitária Todos Irmãos,Arte de Criar e Recriar,Convênio - Passivo,,47383900000000,2006-07-01,2007-04-30,10,21136.32,21136.32,,,200601000000,,,,,
TCV/013/2006/SMADS/FUMCAD,Ação Social São Mateus,Da Rua pra Vida Cidadã,Convênio - Passivo,,45880500000000,2006-02-07,2007-02-06,13,324031.56,324031.56,,,200402000000,,,,,
